id,title,features,sizing,flat_embroidery_24,flat_embroidery_48,flat_embroidery_96,flat_embroidery_144,flat_embroidery_576,flat_embroidery_2500+,3d_embroidery_24,3d_embroidery_48,3d_embroidery_96,3d_embroidery_144,3d_embroidery_576,3d_embroidery_2500+,available_colors
i7041,Lightweight Aerated Performance Cap,Medium profile six panel structured cap; Modified flat visor; 100% aerated polyester fabric; UV protection & moisture wicking; Adjustable snap back closure,XS / OSFM,17.5,15.75,15.5,15.5,15.25,15.25,22.25,20.75,20.5,20.25,20.25,20.0,Black (Out of Stock); Gray; Maroon; Navy; Red; Royal Blue (Out of Stock); White
i7256,Athletic Rope Cap,Medium profile five panel structured cap; Modified flat visor; 100% polyester performance fabric; UV protection & moisture wicking; Braided rope accent; Adjustable snap back closure,OSFM,17.25,15.5,15.5,15.25,15.0,15.0,22.0,20.5,20.25,20.0,20.0,19.75,Black; White (Out of Stock); White / Red Trim; Red (Out of Stock); Royal Blue; Green; Khaki; Navy (Out of Stock); Charcoal; Gray (Out of Stock); White / Blue Trim; Black (Out of Stock); Navy / White Trim (Out of Stock); Yellow (Out of Stock); Maroon (Out of Stock); White (Out of Stock)
i8501,Performance Trucker Mesh Back Cap,Mid profile six panel structured on-field cap; Shapeable flat round visor with contrasting silver polyester undervisor; Poly/spandex blend fabric with performance mesh; UV protection & moisture wicking; Athletic performance sweatband,XS / S / M / L / XL / XXL,19.75,19.0,18.75,18.5,18.5,18.25,22.75,22.0,21.75,21.5,21.5,21.25,White / Red; White / Royal; White / Orange; White / Navy; White / Maroon; White / Black; White / Gray; White / Pink; White / Neon Yellow; Orange; Red; Royal Blue; Yellow / Black; Green / White; Black / White; Gray / White; Blue / White; Navy / White; Black / White; Red / White; Maroon / White; Green / White; Purple / White; Khaki / White; Gold / Black; Red; Royal Blue
i8502,Premium Trucker Mesh Back Cap,Mid profile six panel structured trucker cap; Shapeable pre-curved visor with contrasting silver polyester undervisor; Poly/spandex blend fabric with performance mesh; UV protection and moisture wicking; 110 TechnologyÂ® sweatband with adjustable snap back closure,OSFM,20.25,19.25,19.25,19.0,18.75,18.75,23.25,22.25,22.25,22.0,21.75,21.75,Yellow; Orange; Red; Royal Blue; Navy / White; Black / White; Green; Gray / White; Black / Gray; Charcoal / White; White / Royal; White / Red; White / Black; White / Navy; White / Green; White / Orange; White / Maroon; Blue / White; Purple / White; Yellow / White; Orange / White
i8503,Perforated Performance Cap,Mid profile six panel structured on-field cap; Shapeable flat round visor with contrasting silver polyester undervisor; Poly/sport blend fabric with perforated side and back; UV protection & moisture wicking; Athletic performance sweatband,XS / S / M / L / XL / XXL,19.25,18.25,18.0,18.0,17.75,17.75,22.25,21.25,21.0,21.0,20.75,20.75,White; Royal Blue; Navy; Green; Orange; Red; Gray; Black; Maroon; Brown; Purple; Forest Green; White / Navy; White / Royal; White / Red; White / Black; White / Green; White / Gray
i8504,Wool Blend Performance Cap,Mid profile six panel structured on-field cap; Shapeable flat round visor with contrasting silver polyester undervisor; Acrylic/wool/spandex sport blend fabric; UV protection; Cool & dry performance sweatband,XS / S / M / L / XL,19.75,18.75,18.75,18.5,18.5,18.25,22.75,21.75,21.75,21.5,21.5,21.25,Royal Blue; Navy; Red; Maroon; Orange; Green; Forest Green; Gray; Black; White; Purple; Khaki; Yellow
i8505,Original Poly/Cotton Snap Back Cap,Mid profile six panel structured full fabric cap; Modified flat visor with contrasting silver undervisor; Poly/cotton blend fabric; UV protection & moisture wicking; 3-part comfort fit sweatband with adjustable snap back closure,XS / OSFM,13.0,12.25,12.0,11.75,11.75,11.5,16.0,15.25,15.0,14.75,14.75,14.5,Black; Gray; White; Navy; Royal Blue; Red; Maroon; Orange; Green; Forest Green; Brown; Purple
i8508,Aerated Performance Cap,Mid profile six panel structured on-field cap; Shapeable flat round visor with contrasting silver polyester undervisor; 100% polyester fabric with nylon interface; Moisture wicking; Cool & dry performance sweatband,XS / S / M / L / XL,19.75,19.5,19.5,19.25,19.25,19.0,22.5,22.0,22.0,21.75,21.75,21.5,Orange; Red; Maroon; Royal Blue; Navy; Green; Forest Green; Gray; Black; White; Purple; Brown; Khaki; Yellow
i8525,Ribbed Tri-Blend Trucker Mesh Back Cap,Low profile six panel structured trucker cap; Shapeable pre-curved visor; Poly/nylon/spandex blend fabric with performance mesh; Moisture wicking; 110 TechnologyÂ® sweatband with adjustable snap back closure,OSFM,20.25,19.25,19.25,19.0,19.0,18.75,23.25,22.25,22.25,22.0,22.0,21.75,Heather Gray / Black; Heather Royal / White; Heather Red / White; Black; Heather Navy / White
i8530,Full Fabric Performance Cap,Mid profile six panel structured on-field cap; Shapeable flat round visor with contrasting silver polyester undervisor; Poly/sport blend fabric; UV protection & moisture wicking; Athletic performance sweatband,XS / S / M / L / XL / XXL,19.25,19.0,18.0,17.75,17.75,17.5,22.25,21.25,21.0,20.75,20.75,20.75,White; Royal Blue; Navy; Green; Orange; Red; Maroon; Gray; Black; Purple; Brown; Forest Green; Khaki; Yellow
